Text,Lable,Social dependency
舞台上气场全开的爱豆们总能圈粉无数，但他们私下认真专注做音乐的样子也是十分迷人来看看带着耳机认真工作的王俊凯 王源 张艺兴 蔡徐坤 陈立农 范丞丞 朱正廷 尤长靖 和他们一起陶醉在的世界里吧,0
今日陷入KUN和IKUN甜美爱情，出不了,0
听完的Hard To Get-蔡徐坤  前奏就决定是我的年度最佳之一。其实亚洲新歌榜上还是有不少好音乐的。只要一喊你的名字，鸟和野鹿，都在往春天赶 ​,0,comment:@蔡徐坤 这次Hard to get的MV真的Hard to get了…以后取歌名真的要小心了.我先交彩蛋！
们可以保护好自己你好好的就行做自己喜欢的事情蔡徐坤,0
蔡徐坤刚去跑步 ，跑到一半我就跑不动了，于是室友机智的拿手机放起了小九跑到我前面把手机冲着我感觉像钓鱼一样成功的让我继续跑起来了,0
蔡徐坤 在哪里不管时间多急，看到坤哥也要合影啊，这是身为ikun必须要的啊,0,comment:@蔡徐坤谢谢你们一直等我这是出发的舞台 也是《重生》的舞台。
其实我早要哭了 出来帮室友过生日现在缓一缓来哭一下 谢谢你呀 你说保护好IKUN  IKUN说要保护KUN 我们啊 早已是彼此生命中的一部分啦 那 你也要保护好自己好吗？蔡徐坤我爱你,0
蔡徐坤 世上所有的惊喜和好运 都是你积累的人品和善良！加油！我的崽崽,0
蔡徐坤 散发独有光芒，追寻梦想从不懈怠，自由畅享百变舞台，请勿畏惧离散，因为陪伴你一起走向前路是最简单的坚持！蔡徐坤舞台 蔡徐坤公益,0,comment:@蔡徐坤谢谢你们一直等我这是出发的舞台 也是《重生》的舞台。
蔡徐坤 你真的很棒，目标清晰，坚持梦想，谢谢你的来到，让我对人生有了更多的思考！,0
是好久不见的漂亮小狮子唷，葵葵就是这么可爱 蔡徐坤 ​,0
看到这个不自觉的有点想哭，你总是在保护我们，我们也会保护你，尽我们所能的去保护你，蔡徐坤，因为我能感觉到你对我们的爱，我从前一直以为追星就是我们付出全部的爱，不求你的回报，甚至不求你看到，但我现在明白了，你什么都看得到，也什么都知道，我爱你,0
也想跟帅气的你开个会，讨论下这辈子下辈子还有下下辈子，如何才能更爱你 蔡徐坤 可否？,0
不知道说什么就是很爱很爱很爱徐坤！,0
蔡徐坤穿白衬衫太心动了，我到现在还回不过神,0
蔡徐坤 你是我今生唯一的执著哦。棒棒哒！,0
人间值得，最甜，最暖，最宠，最帅的老板，坤哥，我爱你！甜到爆炸的恋爱,0
蔡徐坤 刚刚老师和同学还在嘲讽的开着坤坤玩笑，心里还正在难受中，看到这个真的突然就哭了！！！坤坤一定会越来越好的！！我们一直都在！！,0
我晕 蔡徐坤什么时候弹钢琴或者吉他 手真的好好看 好适合的,0
蔡徐坤宝宝的衣服掉毛哇 来自妈粉的倔强,0
目前处于一线流量位置的蔡徐坤口碑好坏参半惹，也总有人在不了解的情况下跟风黑他，前阵子的篮球梗真的是被玩儿坏了...现在的网友有才又可怕。,0
今天打球碰到“蔡徐坤”了,1
蔡徐坤太帅了叭,0
蔡徐坤 似乎每次都是这样 说好的要好好保护他 到头来却都是他在保护我们抱抱,0
蔡徐坤蔡徐坤 cxk喜欢你呀从来不需要理由更何况你还如此优秀,0
看到这个爆哭！开个会都这么帅！我是粉了一个多好的人啊！,0
坚定向前走，没有什么是大不了的，人生就该肆意一回，梦想多美好，现实就多有残酷，但你坚持了下来，所以正能量的少年你真的很好，会一直守护在你身边蔡徐坤,0
就这张图觉得蔡徐坤其实长得还可以..??? ​,1
现在很难受我开开心心转了那么多条居然一条都没发出来这感觉就像吃了屎还不能吐出来一样难受  你明白吗蔡徐坤,0
需要积攒几世的运气，今生才有幸遇见你，用掌声为你的舞台签名，只为让你离梦想更接近，奢望有天住进你的眼睛。不同的形象，一样的你，爱你蔡徐坤,0,comment:@蔡徐坤谢谢你们一直等我这是出发的舞台 也是《重生》的舞台。
蔡徐坤今天一不小心就穿成了亲子装哈哈，这是什么神仙缘分呀 ​,0
我常常因为自己打球不像蔡徐坤而感觉和你们格格不入,1
蔡徐坤今天一不小心就穿成了亲子装哈哈，这是什么神仙缘分呀 ​,0
蔡徐坤 往后余生， 陪伴是我， 打投是我， 拥有一切与你风雨同舟记忆的， 还是我！ ,0
蔡徐坤 打死都不能分开我们粉上蔡徐坤好像每天都在恋爱,0
